Date,Open,High,Low,Close,Volume
2004-08-19,2.508,2.61,2.406,2.516,44659000
2004-08-20,2.533,2.735,2.52,2.716,22834300
2004-08-23,2.778,2.846,2.735,2.743,18256100
2004-08-24,2.79,2.799,2.597,2.63,15247300
2004-08-25,2.627,2.708,2.605,2.658,9188600
2004-08-26,2.632,2.707,2.625,2.706,7094800
2004-08-27,2.711,2.724,2.65,2.662,6211700
2004-08-30,2.64,2.645,2.558,2.558,5196700
2004-08-31,2.566,2.601,2.562,2.567,4917800
2004-09-01,2.575,2.582,2.499,2.514,9138200
2004-09-02,2.485,2.567,2.481,2.546,15118600
2004-09-03,2.532,2.551,2.491,2.508,5152400
2004-09-07,2.533,2.558,2.498,2.547,5847500
2004-09-08,2.526,2.584,2.52,2.565,4985600
2004-09-09,2.57,2.576,2.533,2.566,4061700
2004-09-10,2.545,2.672,2.54,2.641,8698800
2004-09-13,2.674,2.719,2.67,2.696,7844100
2004-09-14,2.694,2.809,2.678,2.796,10828900
2004-09-15,2.773,2.865,2.764,2.809,10713000
2004-09-16,2.817,2.904,2.8,2.858,9266300
2004-09-17,2.869,2.946,2.848,2.946,9472500
2004-09-20,2.933,3.049,2.928,2.993,10628700
2004-09-21,3.014,3.02,2.947,2.955,7228700
2004-09-22,2.945,3.001,2.929,2.969,7581200
2004-09-23,2.98,3.075,2.935,3.03,8535600
2004-09-24,3.034,3.112,3.003,3.005,9123400
2004-09-27,2.998,3.031,2.954,2.966,7066100
2004-09-28,3.038,3.195,3.015,3.181,16929000
2004-09-29,3.173,3.386,3.166,3.287,30516400
2004-09-30,3.258,3.318,3.235,3.25,13758000
2004-10-01,3.28,3.366,3.232,3.325,15124800
2004-10-04,3.392,3.432,3.361,3.387,13022700
2004-10-05,3.377,3.474,3.316,3.47,14973200
2004-10-06,3.452,3.472,3.411,3.438,13381400
2004-10-07,3.425,3.508,3.424,3.482,14115000
2004-10-08,3.479,3.503,3.436,3.454,11069500
2004-10-11,3.436,3.482,3.357,3.392,10472100
2004-10-12,3.373,3.451,3.345,3.446,11665500
2004-10-13,3.592,3.6,3.513,3.533,19766200
2004-10-14,3.536,3.571,3.475,3.561,10442100
2004-10-15,3.635,3.649,3.56,3.614,13194700
2004-10-18,3.589,3.742,3.541,3.741,14036300
2004-10-19,3.774,3.822,3.695,3.71,18109800
2004-10-20,3.71,3.736,3.501,3.523,22722600
2004-10-21,3.614,3.765,3.551,3.746,29149800
2004-10-22,4.274,4.518,4.115,4.324,73710000
2004-10-25,4.421,4.876,4.327,4.7,65462800
2004-10-26,4.676,4.831,4.514,4.559,44569500
2004-10-27,4.577,4.753,4.558,4.664,26686200
2004-10-28,4.68,4.875,4.654,4.847,29663900
2004-10-29,4.987,5.014,4.78,4.781,42282600
2004-11-01,4.852,4.957,4.797,4.916,24425300
2004-11-02,4.984,4.997,4.848,4.887,22669900
2004-11-03,4.97,5.056,4.784,4.807,27749600
2004-11-04,4.721,4.775,4.598,4.632,28790300
2004-11-05,4.564,4.572,4.227,4.247,39626500
2004-11-08,4.285,4.4,4.248,4.327,22361200
2004-11-09,4.366,4.394,4.145,4.231,22106200
2004-11-10,4.28,4.326,4.171,4.209,21266700
2004-11-11,4.246,4.608,4.202,4.59,29941000
2004-11-12,4.645,4.76,4.449,4.564,33458700
2004-11-15,4.525,4.723,4.483,4.636,23779100
2004-11-16,4.373,4.501,4.284,4.327,41792900
2004-11-17,4.239,4.451,4.238,4.326,36229500
2004-11-18,4.273,4.374,4.156,4.201,33225900
2004-11-19,4.24,4.263,4.176,4.248,17521000
2004-11-22,4.228,4.251,4.045,4.14,24711600
2004-11-23,4.211,4.284,4.175,4.201,24801700
2004-11-24,4.385,4.444,4.326,4.383,30531400
2004-11-26,4.409,4.515,4.397,4.499,12947200
2004-11-29,4.52,4.588,4.451,4.54,21311800
2004-11-30,4.531,4.589,4.52,4.564,15384600
2004-12-01,4.558,4.577,4.503,4.513,15712400
2004-12-02,4.511,4.552,4.478,4.499,12509200
2004-12-03,4.514,4.541,4.454,4.524,11726600
2004-12-06,4.492,4.531,4.414,4.421,12495400
2004-12-07,4.414,4.419,4.277,4.299,13728000
2004-12-08,4.277,4.355,4.231,4.263,15068500
2004-12-09,4.269,4.351,4.225,4.349,15292600
2004-12-10,4.349,4.386,4.296,4.305,8625700
2004-12-13,4.314,4.343,4.249,4.274,9627500
2004-12-14,4.288,4.484,4.253,4.481,22154600
2004-12-15,4.464,4.531,4.43,4.508,22919000
2004-12-16,4.444,4.526,4.412,4.425,17128400
2004-12-17,4.433,4.526,4.427,4.516,14757600
2004-12-20,4.564,4.726,4.561,4.64,19649300
2004-12-21,4.671,4.712,4.599,4.608,11021500
2004-12-22,4.612,4.686,4.589,4.672,7806100
2004-12-23,4.701,4.73,4.664,4.712,7221900
2004-12-27,4.75,4.847,4.742,4.813,12195900
2004-12-28,4.818,4.854,4.79,4.834,8283300
2004-12-29,4.814,4.853,4.809,4.837,5350800
2004-12-30,4.839,4.971,4.811,4.955,11796700
2004-12-31,4.996,5.012,4.829,4.835,15321600
2005-01-03,4.95,5.107,4.902,5.083,31656700
2005-01-04,5.049,5.089,4.852,4.878,27484200
2005-01-05,4.851,4.938,4.821,4.853,16456700
2005-01-06,4.896,4.913,4.708,4.728,20753400
2005-01-07,4.781,4.871,4.734,4.861,19306400
2005-01-10,4.878,4.968,4.811,4.892,15064100
2005-01-11,4.906,4.958,4.844,4.853,13903400
2005-01-12,4.873,4.913,4.777,4.9,16339200
2005-01-13,4.9,4.95,4.866,4.898,13685100
2005-01-14,4.915,5.016,4.868,5.015,19261300
2005-01-18,5.038,5.141,4.982,5.113,26318800
2005-01-19,5.132,5.148,4.933,4.948,22492800
2005-01-20,4.829,4.921,4.815,4.863,17985100
2005-01-21,4.876,4.899,4.718,4.722,18498200
2005-01-24,4.732,4.748,4.522,4.532,28017300
2005-01-25,4.569,4.57,4.421,4.442,21297000
2005-01-26,4.496,4.75,4.493,4.746,24591100
2005-01-27,4.734,4.736,4.644,4.717,13241500
2005-01-28,4.768,4.883,4.673,4.773,24391900
2005-01-31,4.857,4.924,4.808,4.906,19174200
2005-02-01,4.875,5.11,4.781,4.812,37640300
2005-02-02,5.405,5.437,5.107,5.165,65533000
2005-02-03,5.166,5.351,5.161,5.288,25950200
2005-02-04,5.178,5.21,5.081,5.125,29608900
2005-02-07,5.147,5.176,4.903,4.916,25894800
2005-02-08,4.939,5.016,4.878,4.981,22937000
2005-02-09,5.035,5.056,4.751,4.804,34308600
2005-02-10,4.814,4.82,4.646,4.714,37927400
2005-02-11,4.681,4.823,4.666,4.7,26205700
2005-02-14,4.666,4.842,4.539,4.84,77047200
2005-02-15,4.855,5.011,4.842,4.896,51514000
2005-02-16,4.883,4.999,4.873,4.976,33031500
2005-02-17,4.961,5.009,4.935,4.963,20807900
2005-02-18,4.978,4.986,4.932,4.964,16954800
2005-02-22,4.928,4.988,4.774,4.799,26940400
2005-02-23,4.847,4.877,4.731,4.864,31140800
2005-02-24,4.598,4.761,4.57,4.737,51576900
2005-02-25,4.743,4.763,4.652,4.661,19927000
2005-02-28,4.664,4.761,4.661,4.714,15621100
2005-03-01,4.747,4.758,4.649,4.666,18603700
2005-03-02,4.663,4.706,4.623,4.644,14556400
2005-03-03,4.668,4.708,4.622,4.69,15201900
2005-03-04,4.682,4.696,4.641,4.662,13534600
2005-03-07,4.709,4.755,4.69,4.735,17317400
2005-03-08,4.742,4.761,4.639,4.644,16076100
2005-03-09,4.62,4.631,4.518,4.548,22698000
2005-03-10,4.539,4.544,4.449,4.513,21899000
2005-03-11,4.525,4.538,4.442,4.459,16040500
2005-03-14,4.472,4.474,4.328,4.388,22270900
2005-03-15,4.395,4.514,4.369,4.479,20823300
2005-03-16,4.431,4.479,4.389,4.404,14198300
2005-03-17,4.442,4.505,4.409,4.496,16504600
2005-03-18,4.484,4.524,4.472,4.515,14165800
2005-03-21,4.496,4.568,4.445,4.536,14952400
2005-03-22,4.544,4.563,4.46,4.479,11252100
2005-03-23,4.463,4.52,4.463,4.488,9680300
2005-03-24,4.52,4.536,4.494,4.495,7402900
2005-03-28,4.556,4.634,4.538,4.55,17458500
2005-03-29,4.54,4.596,4.466,4.503,12933000
2005-03-30,4.53,4.55,4.504,4.525,12459700
2005-03-31,4.463,4.549,4.455,4.527,13523600
2005-04-01,4.558,4.588,4.514,4.515,12351600
2005-04-04,4.513,4.647,4.51,4.647,16136600
2005-04-05,4.708,4.771,4.704,4.729,17455900
2005-04-06,4.746,4.756,4.704,4.745,10494600
2005-04-07,4.734,4.881,4.731,4.859,19365000
2005-04-08,4.857,4.893,4.801,4.816,10222900
2005-04-11,4.842,4.885,4.823,4.846,10810100
2005-04-12,4.84,4.876,4.75,4.864,14624500
2005-04-13,4.852,4.873,4.758,4.838,13098400
2005-04-14,4.847,4.874,4.767,4.801,12293000
2005-04-15,4.767,4.773,4.631,4.639,23131600
2005-04-18,4.629,4.712,4.601,4.689,13087400
2005-04-19,4.748,4.815,4.715,4.8,16843100
2005-04-20,4.98,5.028,4.913,4.968,30872000
2005-04-21,5.026,5.141,4.998,5.135,35468200
2005-04-22,5.59,5.617,5.373,5.412,66343700
2005-04-25,5.462,5.636,5.455,5.606,39640300
2005-04-26,5.523,5.567,5.474,5.486,34509400
2005-04-27,5.467,5.538,5.435,5.512,20509000
2005-04-28,5.504,5.569,5.46,5.503,17348200
2005-04-29,5.565,5.573,5.462,5.517,18322000
2005-05-02,5.568,5.61,5.522,5.574,19515200
2005-05-03,5.556,5.721,5.55,5.672,35524800
2005-05-04,5.697,5.765,5.693,5.73,24142800
2005-05-05,5.733,5.733,5.664,5.692,15004100
2005-05-06,5.728,5.749,5.679,5.718,13514200
2005-05-09,5.718,5.73,5.653,5.668,11062500
2005-05-10,5.654,5.713,5.635,5.713,12678900
2005-05-11,5.74,5.817,5.716,5.8,22934600
2005-05-12,5.788,5.824,5.723,5.736,17878500
2005-05-13,5.747,5.795,5.701,5.749,14816100
2005-05-16,5.76,5.808,5.732,5.794,11351400
2005-05-17,5.782,5.854,5.773,5.846,15602100
2005-05-18,5.858,6.018,5.856,5.998,24599300
2005-05-19,6.031,6.048,5.975,5.998,19413500
2005-05-20,6.049,6.06,6.01,6.059,16310600
2005-05-23,6.098,6.472,6.087,6.406,42733800
2005-05-24,6.444,6.657,6.357,6.42,58028100
2005-05-25,6.338,6.545,6.285,6.54,36079600
2005-05-26,6.544,6.614,6.477,6.5,27066100
2005-05-27,6.532,6.672,6.501,6.671,24343800
2005-05-31,6.76,6.982,6.755,6.953,44429100
2005-06-01,7.102,7.345,7.072,7.222,70313000
2005-06-02,7.241,7.267,7.137,7.22,35912200
2005-06-03,7.192,7.255,6.957,7.028,37527000
2005-06-06,7.082,7.366,7.068,7.296,45006700
2005-06-07,7.45,7.513,7.28,7.351,48597300
2005-06-08,7.344,7.352,6.972,7.011,51350300
2005-06-09,7.14,7.235,7.036,7.18,32849300
2005-06-10,7.197,7.204,7.022,7.084,25367800
2005-06-13,7.017,7.127,6.934,7.091,25580700
2005-06-14,6.986,7.053,6.965,6.98,20163600
2005-06-15,6.896,6.954,6.706,6.891,41724400
2005-06-16,6.878,6.979,6.848,6.957,24899800
2005-06-17,6.997,7.029,6.919,7.029,20847900
2005-06-20,6.923,7.214,6.814,7.19,42007300
2005-06-21,7.227,7.28,7.146,7.218,30234300
2005-06-22,7.264,7.331,7.239,7.255,20927000
2005-06-23,7.222,7.393,7.185,7.265,28084600
2005-06-24,7.295,7.473,7.262,7.454,35506800
2005-06-27,7.496,7.635,7.369,7.626,35570100
2005-06-28,7.681,7.755,7.573,7.573,38034900
2005-06-29,7.586,7.633,7.326,7.341,36560800
2005-06-30,7.381,7.496,7.299,7.377,30158600
2005-07-01,7.399,7.429,7.253,7.304,18436700
2005-07-05,7.323,7.422,7.278,7.416,14973000
2005-07-06,7.456,7.463,7.307,7.311,15984500
2005-07-07,7.257,7.418,7.235,7.411,21322800
2005-07-08,7.429,7.461,7.374,7.429,14900200
2005-07-11,7.433,7.438,7.298,7.356,16763800
2005-07-12,7.357,7.383,7.296,7.317,11718000
2005-07-13,7.335,7.504,7.325,7.495,22852900
2005-07-14,7.657,7.692,7.525,7.546,21314000
2005-07-15,7.554,7.608,7.518,7.553,16859900
2005-07-18,7.523,7.571,7.467,7.512,12403100
2005-07-19,7.58,7.783,7.568,7.771,25217500
2005-07-20,7.663,7.839,7.568,7.824,28592100
2005-07-21,7.876,7.97,7.804,7.873,39539200
2005-07-22,7.683,7.755,7.431,7.583,46726800
2005-07-25,7.583,7.606,7.397,7.419,19298200
2005-07-26,7.398,7.473,7.325,7.425,19614100
2005-07-27,7.467,7.479,7.333,7.446,14421300
2005-07-28,7.453,7.458,7.355,7.36,11839300
2005-07-29,7.326,7.344,7.197,7.216,16709800
2005-08-01,7.234,7.335,7.225,7.313,11313400
